Epoch: 0 | mean loss: 6.84795 | total acc: 0.76969 | total recall: 0.71858 | total f1 scroe: 0.74325
Epoch: 1 | mean loss: 6.88350 | total acc: 0.74876 | total recall: 0.71858 | total f1 scroe: 0.73336
Epoch: 2 | mean loss: 5.88110 | total acc: 0.75485 | total recall: 0.73755 | total f1 scroe: 0.74610
Epoch: 3 | mean loss: 7.44563 | total acc: 0.76013 | total recall: 0.74150 | total f1 scroe: 0.75070
Epoch: 4 | mean loss: 6.86071 | total acc: 0.73948 | total recall: 0.72253 | total f1 scroe: 0.73091
Epoch: 5 | mean loss: 6.40757 | total acc: 0.74309 | total recall: 0.72253 | total f1 scroe: 0.73267
Epoch: 6 | mean loss: 6.46988 | total acc: 0.76560 | total recall: 0.75652 | total f1 scroe: 0.76103
Epoch: 7 | mean loss: 6.66989 | total acc: 0.75340 | total recall: 0.74387 | total f1 scroe: 0.74861
Epoch: 8 | mean loss: 9.00359 | total acc: 0.73074 | total recall: 0.71225 | total f1 scroe: 0.72138
Epoch: 9 | mean loss: 9.23254 | total acc: 0.74261 | total recall: 0.73439 | total f1 scroe: 0.73847
Epoch: 10 | mean loss: 8.97724 | total acc: 0.74279 | total recall: 0.73281 | total f1 scroe: 0.73776
Epoch: 11 | mean loss: 6.66683 | total acc: 0.77625 | total recall: 0.75968 | total f1 scroe: 0.76788
Epoch: 12 | mean loss: 6.82497 | total acc: 0.75060 | total recall: 0.73755 | total f1 scroe: 0.74402
Epoch: 13 | mean loss: 6.96281 | total acc: 0.76428 | total recall: 0.75099 | total f1 scroe: 0.75758
Epoch: 14 | mean loss: 6.54779 | total acc: 0.77078 | total recall: 0.75494 | total f1 scroe: 0.76278
Epoch: 15 | mean loss: 7.65169 | total acc: 0.77679 | total recall: 0.76206 | total f1 scroe: 0.76935
Epoch: 16 | mean loss: 6.80859 | total acc: 0.77015 | total recall: 0.76285 | total f1 scroe: 0.76648
Epoch: 17 | mean loss: 6.96654 | total acc: 0.75485 | total recall: 0.73755 | total f1 scroe: 0.74610
Epoch: 18 | mean loss: 7.03660 | total acc: 0.78077 | total recall: 0.75731 | total f1 scroe: 0.76886
Epoch: 19 | mean loss: 6.72314 | total acc: 0.77742 | total recall: 0.76206 | total f1 scroe: 0.76966
Epoch: 20 | mean loss: 7.57332 | total acc: 0.76651 | total recall: 0.75257 | total f1 scroe: 0.75947
Epoch: 21 | mean loss: 7.82084 | total acc: 0.76301 | total recall: 0.75336 | total f1 scroe: 0.75815
Epoch: 22 | mean loss: 7.06853 | total acc: 0.76575 | total recall: 0.74941 | total f1 scroe: 0.75749
Epoch: 23 | mean loss: 8.65640 | total acc: 0.75547 | total recall: 0.73755 | total f1 scroe: 0.74640
Epoch: 24 | mean loss: 7.62879 | total acc: 0.74940 | total recall: 0.74229 | total f1 scroe: 0.74583
Epoch: 25 | mean loss: 6.84010 | total acc: 0.78964 | total recall: 0.77154 | total f1 scroe: 0.78049
Epoch: 26 | mean loss: 7.67384 | total acc: 0.77214 | total recall: 0.75810 | total f1 scroe: 0.76506
Epoch: 27 | mean loss: 7.52611 | total acc: 0.74199 | total recall: 0.73202 | total f1 scroe: 0.73697
Epoch: 28 | mean loss: 7.06458 | total acc: 0.77346 | total recall: 0.75573 | total f1 scroe: 0.76449
Epoch: 29 | mean loss: 7.74746 | total acc: 0.77572 | total recall: 0.76285 | total f1 scroe: 0.76923
Epoch: 30 | mean loss: 8.13920 | total acc: 0.75302 | total recall: 0.73992 | total f1 scroe: 0.74641
Epoch: 31 | mean loss: 7.21036 | total acc: 0.77221 | total recall: 0.75573 | total f1 scroe: 0.76388
Epoch: 32 | mean loss: 7.82235 | total acc: 0.77090 | total recall: 0.75810 | total f1 scroe: 0.76445
Epoch: 33 | mean loss: 7.41306 | total acc: 0.77841 | total recall: 0.75810 | total f1 scroe: 0.76812
Epoch: 34 | mean loss: 6.67851 | total acc: 0.77536 | total recall: 0.76126 | total f1 scroe: 0.76825
Epoch: 35 | mean loss: 6.74865 | total acc: 0.77581 | total recall: 0.76047 | total f1 scroe: 0.76806
Epoch: 36 | mean loss: 7.01932 | total acc: 0.77203 | total recall: 0.75494 | total f1 scroe: 0.76339
Epoch: 37 | mean loss: 7.08105 | total acc: 0.77546 | total recall: 0.76443 | total f1 scroe: 0.76990
Epoch: 38 | mean loss: 6.85778 | total acc: 0.76324 | total recall: 0.75178 | total f1 scroe: 0.75747
Epoch: 39 | mean loss: 7.11183 | total acc: 0.78359 | total recall: 0.76996 | total f1 scroe: 0.77671
Epoch: 40 | mean loss: 7.46057 | total acc: 0.76929 | total recall: 0.75652 | total f1 scroe: 0.76285
Epoch: 41 | mean loss: 8.10326 | total acc: 0.77404 | total recall: 0.76364 | total f1 scroe: 0.76880
Epoch: 42 | mean loss: 8.65858 | total acc: 0.73052 | total recall: 0.71146 | total f1 scroe: 0.72087
Epoch: 43 | mean loss: 9.42973 | total acc: 0.74098 | total recall: 0.73043 | total f1 scroe: 0.73567
Epoch: 44 | mean loss: 7.75610 | total acc: 0.76087 | total recall: 0.74704 | total f1 scroe: 0.75389
Epoch: 45 | mean loss: 6.71876 | total acc: 0.75968 | total recall: 0.74466 | total f1 scroe: 0.75210
Epoch: 46 | mean loss: 7.40872 | total acc: 0.73659 | total recall: 0.73834 | total f1 scroe: 0.73747
Epoch: 47 | mean loss: 7.02037 | total acc: 0.75984 | total recall: 0.74783 | total f1 scroe: 0.75378
Epoch: 48 | mean loss: 7.38308 | total acc: 0.74579 | total recall: 0.73518 | total f1 scroe: 0.74045
Epoch: 49 | mean loss: 10.09101 | total acc: 0.72324 | total recall: 0.72095 | total f1 scroe: 0.72209
Epoch: 50 | mean loss: 7.57096 | total acc: 0.76873 | total recall: 0.75415 | total f1 scroe: 0.76137
