Epoch: 0 | mean loss: 5.28398 | total acc: 0.78889 | total recall: 0.72945 | total f1 scroe: 0.75801
Epoch: 1 | mean loss: 6.72869 | total acc: 0.72794 | total recall: 0.67808 | total f1 scroe: 0.70213
Epoch: 2 | mean loss: 5.18661 | total acc: 0.79505 | total recall: 0.77055 | total f1 scroe: 0.78261
Epoch: 3 | mean loss: 8.21036 | total acc: 0.67722 | total recall: 0.73288 | total f1 scroe: 0.70395
Epoch: 4 | mean loss: 8.60108 | total acc: 0.63722 | total recall: 0.69178 | total f1 scroe: 0.66338
Epoch: 5 | mean loss: 5.89469 | total acc: 0.80070 | total recall: 0.78425 | total f1 scroe: 0.79239
Epoch: 6 | mean loss: 7.86674 | total acc: 0.82917 | total recall: 0.68151 | total f1 scroe: 0.74812
Epoch: 7 | mean loss: 8.10272 | total acc: 0.84038 | total recall: 0.61301 | total f1 scroe: 0.70891
Epoch: 8 | mean loss: 8.63492 | total acc: 0.67320 | total recall: 0.70548 | total f1 scroe: 0.68896
Epoch: 9 | mean loss: 13.64462 | total acc: 0.83333 | total recall: 0.54795 | total f1 scroe: 0.66116
Epoch: 10 | mean loss: 8.20018 | total acc: 0.77928 | total recall: 0.59247 | total f1 scroe: 0.67315
Epoch: 11 | mean loss: 8.06172 | total acc: 0.68810 | total recall: 0.73288 | total f1 scroe: 0.70978
Epoch: 12 | mean loss: 7.00267 | total acc: 0.74490 | total recall: 0.75000 | total f1 scroe: 0.74744
Epoch: 13 | mean loss: 7.57019 | total acc: 0.77338 | total recall: 0.73630 | total f1 scroe: 0.75439
Epoch: 14 | mean loss: 10.14308 | total acc: 0.66909 | total recall: 0.63014 | total f1 scroe: 0.64903
Epoch: 15 | mean loss: 6.45701 | total acc: 0.70427 | total recall: 0.79110 | total f1 scroe: 0.74516
Epoch: 16 | mean loss: 7.70374 | total acc: 0.82231 | total recall: 0.68151 | total f1 scroe: 0.74532
Epoch: 17 | mean loss: 7.44220 | total acc: 0.85878 | total recall: 0.77055 | total f1 scroe: 0.81227
